Date,Team1,Team2,Winner,Venue
2-18-2022, Sri Lanka , Australia,Australia,Melbourne Cricket Ground
2-18-2022, India , West Indies,India,Eden Gardens
2-18-2022, Nepal , Oman,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
2-18-2022, Canada , Philippines,Canada,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)
2-18-2022, UAE , Ireland,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
2-18-2022, Germany , Bahrain,Bahrain,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)
2-16-2022, West Indies , India,India,Eden Gardens
2-15-2022, Sri Lanka , Australia,Australia,Manuka Oval
2-14-2022, UAE , Oman,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
2-14-2022, Ireland , Nepal,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
2-13-2022, Australia , Sri Lanka,tie,Sydney Cricket Ground
2-13-2022, UAE , Ireland,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
02-12-2022, Oman , Ireland,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
02-12-2022, UAE , Nepal,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
02-11-2022, Australia , Sri Lanka,Australia,Sydney Cricket Ground
02-11-2022, Oman , Nepal,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
1-30-2022, West Indies , England,West Indies,Kensington Oval
1-29-2022, England , West Indies,England,Kensington Oval
1-26-2022, West Indies , England,West Indies,Kensington Oval
1-23-2022, England , West Indies,England,Kensington Oval
1-22-2022, England , West Indies,West Indies,Kensington Oval
12-23-2021, Ireland , USA,Ireland,Central Broward Regional Park Stadium Turf Ground
12-22-2021, USA , Ireland,United States of America,Central Broward Regional Park Stadium Turf Ground
12-16-2021, West Indies , Pakistan,Pakistan,National Stadium
12-14-2021, Pakistan , West Indies,Pakistan,National Stadium
